"요일별보고서(2025.06.01.~2025.06.30.),skin-su-korea:naver"
"요일별",클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",79,0.38,3.2,"1,644","129,888",0,0
"화요일",48,0.3,3.3,"1,526","73,249",0,0
"수요일",62,0.37,2.7,"1,595","98,879",0,0
"목요일",51,0.23,2.5,"1,478","75,372",0,0
"금요일",65,0.34,2.5,"1,625","105,633",0,0
"토요일",61,0.33,3,"1,624","99,077",0,0
"일요일",69,0.28,3,"1,694","116,908",0,0
