"쇼핑검색보고서(2025.06.01.~2025.06.30.),yonwshin:naver"
"캠페인유형",캠페인,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",파워링크#1 와크 상세페이지,PC,"3,416",36,"5,381","193,732",2.3,0,0,0,0
"파워링크",파워링크#1 와크 상세페이지,모바일,"6,745",92,"1,204","110,726",1.4,0,0,0,0
"파워링크",🟠 와이원 파워링크 MO,PC,3,0,0,0,1,0,0,0,0
"파워링크",🟠 와이원 파워링크 MO,모바일,"4,380",158,768,"121,352",1.1,1.56,11.33,3,120
"파워링크",🟠 와이원 파워링크 PC,PC,"2,876",41,"4,414","180,972",1.9,3.5,92.58,2,110
"쇼핑검색",쇼핑검색#1 엘레먼트엑스,PC,46,0,0,0,3,0,0,0,0
"쇼핑검색",쇼핑검색#1 엘레먼트엑스,모바일,187,1,55,55,3.9,1,0,0,0
