"요일별보고서(2025.06.01.~2025.06.30.),rental1688:naver"
"요일별",시간대별,노출수,클릭수,평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,11,0,3.9,0,0,0,0
"월요일",01시~02시,4,0,5.5,0,0,0,0
"월요일",02시~03시,6,0,2.7,0,0,0,0
"월요일",03시~04시,6,1,4.3,77,77,0,0
"월요일",04시~05시,2,0,2,0,0,0,0
"월요일",05시~06시,9,0,4.1,0,0,0,0
"월요일",06시~07시,12,0,2.1,0,0,0,0
"월요일",07시~08시,19,0,3.8,0,0,0,0
"월요일",08시~09시,33,0,5.1,0,0,0,0
"월요일",09시~10시,60,0,4.1,0,0,0,0
"월요일",10시~11시,85,1,4,77,77,0,0
"월요일",11시~12시,51,2,4.9,501,"1,001",0,0
"월요일",12시~13시,49,0,4.4,0,0,0,0
"월요일",13시~14시,76,2,4.9,528,"1,056",0,0
"월요일",14시~15시,72,2,4.2,66,132,0,0
"월요일",15시~16시,68,4,4.8,613,"2,453",0,0
"월요일",16시~17시,61,2,4.1,462,924,0,0
"월요일",17시~18시,60,0,4.4,0,0,0,0
"월요일",18시~19시,37,0,4.2,0,0,0,0
"월요일",19시~20시,29,0,3.8,0,0,0,0
"월요일",20시~21시,25,0,4,0,0,0,0
"월요일",21시~22시,24,1,2.9,253,253,0,0
"월요일",22시~23시,20,0,3.4,0,0,0,0
"월요일",23시~00시,15,0,8,0,0,0,0
"화요일",00시~01시,14,1,3.1,825,825,0,0
"화요일",01시~02시,1,0,3,0,0,0,0
"화요일",02시~03시,2,0,1.5,0,0,0,0
"화요일",03시~04시,3,0,3,0,0,0,0
"화요일",04시~05시,4,0,4,0,0,0,0
"화요일",05시~06시,4,0,2,0,0,0,0
"화요일",06시~07시,9,0,2.8,0,0,0,0
"화요일",07시~08시,20,1,3.3,77,77,0,0
"화요일",08시~09시,57,0,4.5,0,0,0,0
"화요일",09시~10시,57,1,4.1,77,77,0,0
"화요일",10시~11시,50,0,4.1,0,0,0,0
"화요일",11시~12시,66,0,4.3,0,0,0,0
"화요일",12시~13시,31,0,4.6,0,0,0,0
"화요일",13시~14시,49,0,4.8,0,0,0,0
"화요일",14시~15시,44,0,3.7,0,0,0,0
"화요일",15시~16시,54,0,4.9,0,0,0,0
"화요일",16시~17시,62,0,4,0,0,0,0
"화요일",17시~18시,40,1,4.5,539,539,0,0
"화요일",18시~19시,39,0,5.2,0,0,0,0
"화요일",19시~20시,19,0,4.1,0,0,0,0
"화요일",20시~21시,25,0,4,0,0,0,0
"화요일",21시~22시,22,0,2.8,0,0,0,0
"화요일",22시~23시,19,0,3.8,0,0,0,0
"화요일",23시~00시,11,0,3.2,0,0,0,0
"수요일",00시~01시,12,0,2.8,0,0,0,0
"수요일",01시~02시,3,0,1.3,0,0,0,0
"수요일",02시~03시,5,0,2.8,0,0,0,0
"수요일",03시~04시,7,0,2.1,0,0,0,0
"수요일",04시~05시,1,0,1,0,0,0,0
"수요일",05시~06시,10,0,3,0,0,0,0
"수요일",06시~07시,9,1,5.8,77,77,0,0
"수요일",07시~08시,23,0,2.8,0,0,0,0
"수요일",08시~09시,68,0,3.1,0,0,0,0
"수요일",09시~10시,48,1,4,924,924,0,0
"수요일",10시~11시,67,1,4.5,792,792,0,0
"수요일",11시~12시,59,0,3.9,0,0,0,0
"수요일",12시~13시,78,0,2.5,0,0,0,0
"수요일",13시~14시,54,1,4.2,792,792,0,0
"수요일",14시~15시,73,0,4.2,0,0,0,0
"수요일",15시~16시,50,0,5,0,0,0,0
"수요일",16시~17시,78,0,3.2,0,0,0,0
"수요일",17시~18시,51,1,4.2,616,616,0,0
"수요일",18시~19시,37,1,3.7,77,77,0,0
"수요일",19시~20시,24,0,2.4,0,0,0,0
"수요일",20시~21시,23,0,2.7,0,0,0,0
"수요일",21시~22시,33,1,3.7,77,77,0,0
"수요일",22시~23시,27,0,3.6,0,0,0,0
"수요일",23시~00시,19,0,4.4,0,0,0,0
"목요일",00시~01시,10,0,5.3,0,0,0,0
"목요일",01시~02시,3,0,5,0,0,0,0
"목요일",02시~03시,4,0,3.5,0,0,0,0
"목요일",03시~04시,2,0,5.5,0,0,0,0
"목요일",04시~05시,10,1,11,77,77,0,0
"목요일",05시~06시,8,0,3,0,0,0,0
"목요일",06시~07시,17,0,2.1,0,0,0,0
"목요일",07시~08시,15,0,6.2,0,0,0,0
"목요일",08시~09시,47,3,3,620,"1,859",0,0
"목요일",09시~10시,75,0,4.6,0,0,0,0
"목요일",10시~11시,55,1,3.9,77,77,0,0
"목요일",11시~12시,52,3,5.2,238,715,0,0
"목요일",12시~13시,46,0,3.1,0,0,0,0
"목요일",13시~14시,58,0,3.3,0,0,0,0
"목요일",14시~15시,57,4,3.9,536,"2,145",0,0
"목요일",15시~16시,61,4,3.3,388,"1,551",0,0
"목요일",16시~17시,49,2,6.1,891,"1,782",0,0
"목요일",17시~18시,38,1,3.8,759,759,0,0
"목요일",18시~19시,34,0,3.1,0,0,0,0
"목요일",19시~20시,24,0,4,0,0,0,0
"목요일",20시~21시,21,0,4.8,0,0,0,0
"목요일",21시~22시,30,0,4.5,0,0,0,0
"목요일",22시~23시,27,0,3,0,0,0,0
"목요일",23시~00시,15,1,3.5,77,77,0,0
"금요일",00시~01시,14,0,2.6,0,0,0,0
"금요일",01시~02시,12,0,2.8,0,0,0,0
"금요일",02시~03시,4,0,6,0,0,0,0
"금요일",03시~04시,3,1,4.3,440,440,0,0
"금요일",04시~05시,5,0,3.6,0,0,0,0
"금요일",05시~06시,8,0,2.9,0,0,0,0
"금요일",06시~07시,11,1,3.3,77,77,0,0
"금요일",07시~08시,22,1,3.9,77,77,0,0
"금요일",08시~09시,40,0,4.2,0,0,0,0
"금요일",09시~10시,34,0,3.6,0,0,0,0
"금요일",10시~11시,42,0,3.9,0,0,0,0
"금요일",11시~12시,35,0,5.1,0,0,0,0
"금요일",12시~13시,27,0,4.5,0,0,0,0
"금요일",13시~14시,39,0,4.9,0,0,0,0
"금요일",14시~15시,41,0,3.7,0,0,0,0
"금요일",15시~16시,51,0,5.7,0,0,0,0
"금요일",16시~17시,29,1,6.5,572,572,0,0
"금요일",17시~18시,38,0,3.2,0,0,0,0
"금요일",18시~19시,21,0,3.3,0,0,0,0
"금요일",19시~20시,10,1,5.1,77,77,0,0
"금요일",20시~21시,24,0,6.1,0,0,0,0
"금요일",21시~22시,13,1,3.4,495,495,0,0
"금요일",22시~23시,11,0,2.7,0,0,0,0
"금요일",23시~00시,11,0,5.6,0,0,0,0
"토요일",00시~01시,4,0,4.5,0,0,0,0
"토요일",01시~02시,7,1,5.1,748,748,0,0
"토요일",02시~03시,1,0,3,0,0,0,0
"토요일",03시~04시,5,0,2.8,0,0,0,0
"토요일",04시~05시,5,0,2.6,0,0,0,0
"토요일",05시~06시,6,1,3.3,77,77,0,0
"토요일",06시~07시,10,0,6.6,0,0,0,0
"토요일",07시~08시,9,0,2.6,0,0,0,0
"토요일",08시~09시,24,0,3.7,0,0,0,0
"토요일",09시~10시,20,1,3.6,77,77,0,0
"토요일",10시~11시,23,1,3.1,77,77,0,0
"토요일",11시~12시,25,0,4.1,0,0,0,0
"토요일",12시~13시,27,0,3.8,0,0,0,0
"토요일",13시~14시,24,0,2.5,0,0,0,0
"토요일",14시~15시,23,0,5.8,0,0,0,0
"토요일",15시~16시,22,0,4.1,0,0,0,0
"토요일",16시~17시,24,0,3.5,0,0,0,0
"토요일",17시~18시,28,0,3.2,0,0,0,0
"토요일",18시~19시,13,0,2.3,0,0,0,0
"토요일",19시~20시,12,0,2.2,0,0,0,0
"토요일",20시~21시,15,1,3.1,77,77,0,0
"토요일",21시~22시,20,0,5,0,0,0,0
"토요일",22시~23시,21,0,3.3,0,0,0,0
"토요일",23시~00시,14,0,4.7,0,0,0,0
"일요일",00시~01시,10,0,4.2,0,0,0,0
"일요일",01시~02시,4,0,1.8,0,0,0,0
"일요일",02시~03시,5,0,4.4,0,0,0,0
"일요일",03시~04시,9,0,6,0,0,0,0
"일요일",04시~05시,6,0,1.8,0,0,0,0
"일요일",05시~06시,12,0,3.6,0,0,0,0
"일요일",06시~07시,2,0,3.5,0,0,0,0
"일요일",07시~08시,19,0,4,0,0,0,0
"일요일",08시~09시,21,1,2.3,77,77,0,0
"일요일",09시~10시,14,0,4.4,0,0,0,0
"일요일",10시~11시,24,0,4.3,0,0,0,0
"일요일",11시~12시,28,1,4,583,583,0,0
"일요일",12시~13시,24,0,5.3,0,0,0,0
"일요일",13시~14시,22,0,3.6,0,0,0,0
"일요일",14시~15시,21,0,4.6,0,0,0,0
"일요일",15시~16시,21,0,2.5,0,0,0,0
"일요일",16시~17시,14,1,5,77,77,0,0
"일요일",17시~18시,14,0,5.9,0,0,0,0
"일요일",18시~19시,21,0,4.3,0,0,0,0
"일요일",19시~20시,30,1,4.7,957,957,0,0
"일요일",20시~21시,20,0,6.3,0,0,0,0
"일요일",21시~22시,19,0,5.2,0,0,0,0
"일요일",22시~23시,25,0,2.6,0,0,0,0
"일요일",23시~00시,8,0,2.1,0,0,0,0
