"요일별보고서(2025.06.01.~2025.06.30.),the_agit213:naver"
"요일별",시간대별,클릭수,클릭률(%),평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환율(%),전환매출액(원)
"수요일",07시~08시,0,0,1.3,0,0,0,0,0
"수요일",08시~09시,0,0,1,0,0,0,0,0
"수요일",09시~10시,0,0,8.2,0,0,0,0,0
"수요일",10시~11시,2,3.78,5.7,"1,172","2,343",0,0,0
"수요일",11시~12시,0,0,6,0,0,0,0,0
"수요일",12시~13시,0,0,5.2,0,0,0,0,0
"수요일",13시~14시,1,1.62,7,"2,211","2,211",0,0,0
"수요일",14시~15시,2,2.86,6.3,"1,513","3,025",0,0,0
"수요일",15시~16시,2,3.85,5.9,897,"1,793",0,0,0
"수요일",16시~17시,2,3.04,6.3,"1,254","2,508",0,0,0
"수요일",17시~18시,2,2.64,7.5,"1,843","3,685",0,0,0
"수요일",18시~19시,2,66.67,3,"1,359","2,717",0,0,0
"수요일",19시~20시,0,0,2.2,0,0,0,0,0
"수요일",20시~21시,0,0,2,0,0,0,0,0
"수요일",21시~22시,0,0,4.8,0,0,0,0,0
"수요일",22시~23시,1,4.17,1.8,"2,035","2,035",0,0,0
"수요일",23시~00시,0,0,1.2,0,0,0,0,0
"목요일",00시~01시,0,0,2,0,0,0,0,0
"목요일",01시~02시,0,0,1.3,0,0,0,0,0
"목요일",02시~03시,0,0,2,0,0,0,0,0
"목요일",04시~05시,0,0,1,0,0,0,0,0
"목요일",08시~09시,0,0,1,0,0,0,0,0
"목요일",09시~10시,3,7.15,6.5,942,"2,827",0,0,0
"목요일",10시~11시,0,0,6,0,0,0,0,0
"목요일",11시~12시,2,2.82,5.9,809,"1,617",0,0,0
"목요일",12시~13시,2,5.27,6.7,924,"1,848",0,0,0
"목요일",13시~14시,2,4.17,7.3,"1,161","2,321",0,0,0
"목요일",14시~15시,2,2.44,5.8,"1,865","3,729",0,0,0
"목요일",15시~16시,1,1.5,7.7,77,77,0,0,0
"목요일",16시~17시,4,9.31,7.8,"2,794","11,176",0,0,0
"목요일",17시~18시,0,0,8.3,0,0,0,0,0
"목요일",18시~19시,1,7.15,2.1,242,242,0,0,0
"목요일",19시~20시,0,0,1,0,0,0,0,0
"목요일",20시~21시,2,20,1.3,83,165,0,0,0
"목요일",22시~23시,0,0,1.5,0,0,0,0,0
"목요일",23시~00시,1,20,1.8,"1,958","1,958",0,0,0
"금요일",00시~01시,2,25,1,693,"1,386",0,0,0
"금요일",04시~05시,0,0,2,0,0,0,0,0
"금요일",08시~09시,1,33.34,2.3,264,264,0,0,0
"금요일",09시~10시,1,2.44,5.9,264,264,0,0,0
"금요일",10시~11시,1,2.13,8,341,341,0,0,0
"금요일",11시~12시,0,0,9.7,0,0,0,0,0
"금요일",12시~13시,0,0,6.3,0,0,0,0,0
"금요일",13시~14시,2,4.55,7.5,"1,892","3,784",0,0,0
"금요일",14시~15시,1,2.39,8.3,671,671,0,0,0
"금요일",15시~16시,1,1.67,6.7,"1,540","1,540",0,0,0
"금요일",16시~17시,1,1.76,5.5,"1,859","1,859",0,0,0
"금요일",17시~18시,2,3.58,5.9,"1,540","3,080",0,0,0
"금요일",18시~19시,1,33.34,2,77,77,0,0,0
"금요일",19시~20시,0,0,1.3,0,0,0,0,0
"금요일",20시~21시,1,14.29,1.9,"1,067","1,067",0,0,0
"금요일",22시~23시,2,14.29,1.1,"1,040","2,079",0,0,0
"금요일",23시~00시,2,25,1.5,"1,056","2,112",0,0,0
"토요일",01시~02시,0,0,2,0,0,0,0,0
"토요일",02시~03시,0,0,1,0,0,0,0,0
"토요일",06시~07시,0,0,1,0,0,0,0,0
"토요일",07시~08시,0,0,1,0,0,0,0,0
"토요일",08시~09시,1,50,1,77,77,0,0,0
"토요일",09시~10시,0,0,1,0,0,0,0,0
"토요일",10시~11시,0,0,1.3,0,0,0,0,0
"토요일",11시~12시,0,0,1.5,0,0,0,0,0
"토요일",12시~13시,0,0,3.3,0,0,0,0,0
"토요일",13시~14시,1,12.5,1.5,253,253,0,0,0
"토요일",14시~15시,1,33.34,1.7,"1,287","1,287",0,0,0
"토요일",15시~16시,0,0,2.7,0,0,0,0,0
"토요일",16시~17시,1,20,2,"1,045","1,045",0,0,0
"토요일",17시~18시,0,0,1.4,0,0,0,0,0
"토요일",18시~19시,0,0,1,0,0,0,0,0
"토요일",19시~20시,0,0,1.7,0,0,0,0,0
"토요일",20시~21시,0,0,1.4,0,0,0,0,0
"토요일",21시~22시,0,0,2,0,0,0,0,0
"토요일",22시~23시,3,14.29,1.8,733,"2,200",0,0,0
"토요일",23시~00시,0,0,1,0,0,0,0,0
"일요일",00시~01시,0,0,1,0,0,0,0,0
"일요일",01시~02시,1,33.34,1,"1,782","1,782",0,0,0
"일요일",03시~04시,0,0,1,0,0,0,0,0
"일요일",06시~07시,0,0,2,0,0,0,0,0
"일요일",08시~09시,0,0,2,0,0,0,0,0
"일요일",09시~10시,0,0,1,0,0,0,0,0
"일요일",10시~11시,0,0,1,0,0,0,0,0
"일요일",11시~12시,0,0,1.6,0,0,0,0,0
"일요일",12시~13시,2,18.19,1.2,545,"1,089",0,0,0
"일요일",13시~14시,0,0,1.5,0,0,0,0,0
"일요일",14시~15시,0,0,2.4,0,0,0,0,0
"일요일",15시~16시,1,16.67,2.3,"1,265","1,265",0,0,0
"일요일",16시~17시,0,0,3,0,0,0,0,0
"일요일",17시~18시,0,0,2.4,0,0,0,0,0
"일요일",18시~19시,0,0,1.3,0,0,0,0,0
"일요일",19시~20시,0,0,2.3,0,0,0,0,0
"일요일",20시~21시,0,0,1,0,0,0,0,0
"일요일",21시~22시,0,0,1,0,0,0,0,0
"일요일",22시~23시,0,0,3,0,0,0,0,0
"일요일",23시~00시,2,14.29,1.4,165,330,0,0,0
