"파워링크보고서(2025.06.01.~2025.06.30.),adda-adda:naver"
"광고그룹유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주남자요가,PC,6,0,0,0,2.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주남자필라테스,PC,15,0,0,0,2.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주다리교정,PC,5,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주다이어트운동,PC,5,0,0,0,6.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주모던필라테스,PC,6,0,0,0,1.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주상무지구헬스장,PC,34,0,0,0,2.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주서구PT,PC,8,0,0,0,5.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주서구요가,PC,16,0,0,0,1.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주서구운동,PC,21,0,0,0,2.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주서구필라테스,PC,62,0,0,0,6.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주서구헬스장,PC,44,0,0,0,5.9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주어깨통증,PC,11,0,0,0,2.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주요가,PC,114,0,0,0,6.9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주요가원,PC,57,0,0,0,2.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주요가자격증,PC,4,0,0,0,3.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주요가추천,PC,2,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주운동,PC,76,0,0,0,6.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주일자목,PC,3,0,0,0,5.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주임산부필라테스,PC,20,0,0,0,4.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주재활필라테스,PC,27,1,319,319,3.9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주척추교정,PC,49,0,0,0,3.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주척추측만증,PC,158,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주체형관리,PC,22,0,0,0,9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주체형교정,PC,2,1,253,253,7.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주추나,PC,89,0,0,0,2.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주트레이너,PC,8,0,0,0,3.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주풍암동필라테스,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주플라잉요가,PC,18,0,0,0,1.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주피트니스,PC,1,0,0,0,7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주피티,PC,1,0,0,0,9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주피티가격,PC,4,0,0,0,5.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주필라테스,PC,88,0,0,0,9.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주필라테스가격,PC,9,0,0,0,4.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주필라테스강사,PC,31,0,0,0,2.2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주필라테스비용,PC,1,0,0,0,4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주필라테스지도자,PC,8,1,341,341,5.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주필라테스지도자과정,PC,22,0,0,0,7.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주필라테스추천,PC,17,0,0,0,2.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주허리디스크,PC,5,1,88,88,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주허리통증,PC,1,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주헬스,PC,12,0,0,0,8.9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주헬스장,PC,97,1,440,440,9.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주헬스장가격,PC,1,0,0,0,10,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주헬스장추천,PC,14,1,88,88,5.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광주헬스추천,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,광천동필라테스,PC,10,0,0,0,4.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,금호동PT,PC,3,0,0,0,9.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,금호동그룹필라테스,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,금호동요가,PC,13,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,금호동피트니스,PC,1,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,금호동필라테스,PC,83,0,0,0,7.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,금호동헬스,PC,9,0,0,0,9.9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,금호동헬스장,PC,453,0,0,0,7.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,금호동헬스장추천,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,대기구필라테스,PC,89,0,0,0,4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동PT,PC,7,0,0,0,10,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동PT추천,PC,3,0,0,0,1.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동그룹필라테스,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동요가,PC,31,0,0,0,5.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동피트니스,PC,16,0,0,0,9.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동피티,PC,10,0,0,0,4.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동필라테스,PC,26,0,0,0,9.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동필라테스가격,PC,2,0,0,0,1.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동필라테스추천,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동헬스,PC,127,0,0,0,9.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동헬스장,PC,85,0,0,0,9.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,동천동헬스장추천,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구PT,PC,102,0,0,0,6.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구PT가격,PC,1,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구PT추천,PC,3,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구운동,PC,30,1,341,341,5.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구재활,PC,9,0,0,0,1.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구체형교정,PC,4,0,0,0,2.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구플라잉요가,PC,2,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구피트니스,PC,2,0,0,0,5.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구피티,PC,13,0,0,0,5.2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구필라테스,PC,144,0,0,0,7.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구필라테스가격,PC,6,0,0,0,1.2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구헬스,PC,36,1,275,275,7.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구헬스장,PC,501,1,429,429,7.2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구헬스장추천,PC,3,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구헬스추천,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구헬스클럽,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무지구휘트니스,PC,7,0,0,0,5.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,상무필라테스,PC,4,0,0,0,4.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,서구필라테스,PC,7,0,0,0,5.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,송정동요가,PC,7,0,0,0,5.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,송정동피트니스,PC,3,0,0,0,2.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,송정동피티,PC,9,0,0,0,4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,송정동필라테스,PC,50,0,0,0,6.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,송정동필라테스가격,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,송정동헬스,PC,16,0,0,0,5.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,송정동헬스장,PC,98,0,0,0,4.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,쌍촌동PT,PC,93,0,0,0,4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,쌍촌동요가,PC,10,0,0,0,2.1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,쌍촌동피트니스,PC,253,0,0,0,5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,쌍촌동피티,PC,2,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,쌍촌동필라테스,PC,31,0,0,0,3.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,쌍촌동헬스,PC,64,0,0,0,2.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,쌍촌동헬스장추천,PC,4,0,0,0,2.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,쌍촌동헬스클럽,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,여성휘트니스,PC,13,0,0,0,4.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,여자근력운동,PC,101,0,0,0,6.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,여자다이어트운동,PC,4,0,0,0,4.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,염주동필라테스,PC,2,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,염주동헬스장,PC,5,0,0,0,1.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,유덕동요가,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,유덕동필라테스,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,유덕동헬스장,PC,1,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,전남대필라테스,PC,6,0,0,0,1.8,0,0,0,0
