"요일별보고서(2025.06.01.~2025.06.30.),hawaiishellfish:naver"
"요일별",시간대별,노출수,클릭수,평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"금요일",05시~06시,26,0,1,0,13.2,0,0
"금요일",06시~07시,35,1,1.3,17,17.05,0,0
"금요일",07시~08시,47,0,1.2,0,23.1,0,0
"금요일",08시~09시,54,0,1.1,0,27.5,0,0
"금요일",09시~10시,60,0,1.1,0,31.35,0,0
"금요일",10시~11시,53,1,1,29,28.6,0,0
"금요일",11시~12시,51,0,1.2,0,26.4,0,0
"금요일",12시~13시,66,0,1.2,0,32.45,0,0
"금요일",13시~14시,42,0,1.2,0,21.45,0,0
"금요일",14시~15시,693,11,4.3,418,"4,594.15",0,0
"금요일",15시~16시,822,12,3.3,418,"5,014.9",0,0
"금요일",16시~17시,"1,046",18,3.4,502,"9,027.7",0,0
"금요일",17시~18시,"1,265",23,4.2,417,"9,599.7",0,0
"금요일",18시~19시,"1,119",13,4.4,398,"5,172.75",0,0
"금요일",19시~20시,"1,458",14,4.6,546,"7,647.2",0,0
"금요일",20시~21시,"1,938",8,4.7,470,"3,760.9",0,0
"금요일",21시~22시,"2,152",14,3.9,458,"6,405.3",0,0
"금요일",22시~23시,"1,831",13,3.6,525,"6,823.3",0,0
"금요일",23시~00시,124,1,2.6,108,108.35,0,0
"토요일",00시~01시,61,1,1.5,28,27.5,0,0
"토요일",01시~02시,44,0,1.6,0,19.25,0,0
"토요일",02시~03시,24,0,1.2,0,12.1,0,0
"토요일",03시~04시,27,1,1.6,13,12.65,0,0
"토요일",04시~05시,23,0,1.3,0,11.55,0,0
"토요일",05시~06시,24,0,1,0,12.65,0,0
"토요일",06시~07시,53,0,1.8,0,20.9,0,0
"토요일",07시~08시,58,0,1.1,0,30.25,0,0
"토요일",08시~09시,58,0,1.2,0,28.6,0,0
"토요일",09시~10시,80,0,1.3,0,40.15,0,0
"토요일",10시~11시,76,0,1.2,0,38.5,0,0
"토요일",11시~12시,72,0,1.1,0,37.4,0,0
"토요일",12시~13시,71,2,1.1,18,36.3,0,0
"토요일",13시~14시,237,4,2.6,576,"2,304.5",0,0
"토요일",14시~15시,"1,188",12,3,407,"4,885.1",0,0
"토요일",15시~16시,"1,281",17,3.2,275,"4,676.65",0,0
"토요일",16시~17시,"1,290",15,3.1,422,"6,326.1",0,0
"토요일",17시~18시,"1,469",17,4.1,421,"7,158.25",0,0
"토요일",18시~19시,"1,868",27,4.2,324,"8,741.7",0,0
"토요일",19시~20시,"2,887",26,4,516,"13,412.85",0,0
"토요일",20시~21시,"3,307",25,3.3,391,"9,771.85",0,0
"토요일",21시~22시,"2,769",16,2.7,580,"9,287.85",0,0
"토요일",22시~23시,"2,210",28,2.9,368,"10,317.45",0,0
"토요일",23시~00시,146,1,2.2,552,552.2,0,0
"일요일",00시~01시,98,1,1.6,34,33.55,0,0
"일요일",01시~02시,78,0,1.6,0,28.05,0,0
"일요일",02시~03시,39,0,1.5,0,13.75,0,0
"일요일",03시~04시,37,0,1.3,0,18.15,0,0
"일요일",04시~05시,30,0,1.2,0,14.3,0,0
"일요일",05시~06시,24,0,1.2,0,12.1,0,0
"일요일",06시~07시,60,0,1.2,0,30.8,0,0
"일요일",07시~08시,77,0,1.1,0,39.6,0,0
"일요일",08시~09시,110,4,1.1,13,53.9,0,0
"일요일",09시~10시,118,2,1.1,31,62.15,0,0
"일요일",10시~11시,99,1,1.2,47,46.75,0,0
"일요일",11시~12시,101,2,1.2,24,47.3,0,0
"일요일",12시~13시,88,1,1.1,43,43.45,0,0
"일요일",13시~14시,87,0,1.2,0,44,0,0
"일요일",14시~15시,"1,142",13,3.3,454,"5,902.6",0,0
"일요일",15시~16시,"1,447",18,3.2,441,"7,936.5",0,0
"일요일",16시~17시,"1,370",13,3,390,"5,065.5",0,0
"일요일",17시~18시,"1,401",20,3.8,274,"5,480.2",0,0
"일요일",18시~19시,"1,442",25,4.4,364,"9,098.65",0,0
"일요일",19시~20시,"1,780",22,3.7,338,"7,435.45",0,0
"일요일",20시~21시,"2,049",13,3.8,397,"5,164.5",0,0
"일요일",21시~22시,"2,158",18,3.2,579,"10,414.25",0,0
"일요일",22시~23시,"1,554",23,3.4,506,"11,632.5",0,0
"일요일",23시~00시,154,2,2.1,244,488.95,0,0
