"요일별보고서(2025.06.01.~2025.06.30.),nobless55:naver"
"요일별",시간대별,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"수요일",07시~08시,0,0,0,84.7,0,0
"수요일",08시~09시,3,1.54,78,234.85,0,0
"수요일",09시~10시,2,0.65,111,222.2,0,0
"수요일",10시~11시,3,0.83,73,219.45,0,0
"수요일",11시~12시,4,0.92,56,223.85,0,0
"수요일",12시~13시,0,0,0,79.2,0,0
"수요일",13시~14시,2,0.7,105,209.55,0,0
"수요일",14시~15시,1,0.39,164,163.9,0,0
"수요일",15시~16시,3,1.08,111,333.85,0,0
"수요일",16시~17시,2,0.55,118,236.5,0,0
"수요일",17시~18시,3,0.82,99,298.1,0,0
"수요일",18시~19시,3,0.81,72,216.15,0,0
"수요일",19시~20시,0,0,0,57.2,0,0
"수요일",20시~21시,2,0.84,107,213.95,0,0
"수요일",21시~22시,0,0,0,65.45,0,0
"수요일",22시~23시,1,0.4,76,75.9,0,0
"수요일",23시~00시,3,1.25,48,143,0,0
"목요일",00시~01시,2,1.23,101,201.3,0,0
"목요일",01시~02시,0,0,0,22,0,0
"목요일",02시~03시,1,2.05,92,92.4,0,0
"목요일",03시~04시,3,7.7,67,200.2,0,0
"목요일",04시~05시,2,6.67,46,91.3,0,0
"목요일",05시~06시,0,0,0,29.7,0,0
"목요일",06시~07시,2,2.03,21,41.8,0,0
"목요일",07시~08시,1,0.72,60,59.95,0,0
"목요일",08시~09시,1,0.64,136,135.85,0,0
"목요일",09시~10시,1,0.35,125,125.4,0,0
"목요일",10시~11시,2,0.59,34,68.75,0,0
"목요일",11시~12시,3,0.69,46,136.95,0,0
"목요일",12시~13시,0,0,0,57.2,0,0
"목요일",13시~14시,1,0.41,142,142.45,0,0
"목요일",14시~15시,2,0.84,37,73.15,0,0
"목요일",15시~16시,2,0.76,80,160.05,0,0
"목요일",16시~17시,1,0.32,161,161.15,0,0
"목요일",17시~18시,2,0.58,110,219.45,0,0
"목요일",18시~19시,2,0.53,104,207.35,0,0
"목요일",19시~20시,2,0.78,101,202.4,0,0
"목요일",20시~21시,5,1.9,68,339.35,0,0
"목요일",21시~22시,0,0,0,60.5,0,0
"목요일",22시~23시,5,2.27,54,271.15,0,0
"목요일",23시~00시,0,0,0,48.4,0,0
"금요일",00시~01시,4,2.37,32,127.05,0,0
"금요일",01시~02시,2,1.76,90,180.4,0,0
"금요일",02시~03시,2,3.39,79,157.3,0,0
"금요일",03시~04시,1,2.39,18,18.15,0,0
"금요일",04시~05시,0,0,0,19.25,0,0
"금요일",05시~06시,0,0,0,26.4,0,0
"금요일",06시~07시,1,0.99,47,47.3,0,0
"금요일",07시~08시,2,1.63,106,211.2,0,0
"금요일",08시~09시,2,1.04,116,231,0,0
"금요일",09시~10시,0,0,0,59.95,0,0
"금요일",10시~11시,2,0.72,111,221.1,0,0
"금요일",11시~12시,3,0.82,77,229.9,0,0
"금요일",12시~13시,1,0.34,145,144.65,0,0
"금요일",13시~14시,2,0.87,111,221.1,0,0
"금요일",14시~15시,2,1,73,146.3,0,0
"금요일",15시~16시,3,1.39,58,173.8,0,0
"금요일",16시~17시,2,0.63,110,220,0,0
"금요일",17시~18시,5,1.56,87,434.5,0,0
"금요일",18시~19시,5,1.68,87,433.95,0,0
"금요일",19시~20시,6,2.36,76,458.15,0,0
"금요일",20시~21시,1,0.48,123,123.2,0,0
"금요일",21시~22시,1,0.42,68,67.65,0,0
"금요일",22시~23시,6,2.92,54,322.85,0,0
"금요일",23시~00시,3,1.41,65,196.35,0,0
"토요일",00시~01시,1,0.65,121,121,0,0
"토요일",01시~02시,2,2.16,50,100.1,0,0
"토요일",02시~03시,0,0,0,20.35,0,0
"토요일",03시~04시,1,2.86,81,81.4,0,0
"토요일",04시~05시,1,3.34,88,88,0,0
"토요일",05시~06시,3,5.09,34,102.85,0,0
"토요일",06시~07시,2,2.99,15,30.8,0,0
"토요일",07시~08시,2,1.74,24,47.85,0,0
"토요일",08시~09시,2,1.4,108,216.15,0,0
"토요일",09시~10시,5,2.9,41,206.25,0,0
"토요일",10시~11시,4,1.58,32,129.8,0,0
"토요일",11시~12시,0,0,0,50.6,0,0
"토요일",12시~13시,0,0,0,55.55,0,0
"토요일",13시~14시,3,1.11,87,261.8,0,0
"토요일",14시~15시,0,0,0,47.3,0,0
"토요일",15시~16시,1,0.35,114,114.4,0,0
"토요일",16시~17시,5,1.79,88,439.45,0,0
"토요일",17시~18시,0,0,0,37.95,0,0
"토요일",18시~19시,5,1.33,77,383.9,0,0
"토요일",19시~20시,4,1.4,82,328.35,0,0
"토요일",20시~21시,3,1.15,66,198.55,0,0
"토요일",21시~22시,0,0,0,52.8,0,0
"토요일",22시~23시,3,1.39,41,123.2,0,0
"토요일",23시~00시,1,0.49,127,126.5,0,0
"일요일",00시~01시,1,0.49,125,124.85,0,0
"일요일",01시~02시,0,0,0,33,0,0
"일요일",02시~03시,0,0,0,29.7,0,0
"일요일",03시~04시,1,2.09,13,13.2,0,0
"일요일",04시~05시,0,0,0,19.8,0,0
"일요일",05시~06시,1,1.7,100,99.55,0,0
"일요일",06시~07시,1,1.27,113,113.3,0,0
"일요일",07시~08시,1,0.8,48,48.4,0,0
