"요일별보고서(2025.06.01.~2025.06.30.),mwooh1:naver"
"요일별",시간대별,노출수,클릭수,평균노출순위,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"월요일",00시~01시,"3,164",26,1.3,"1,128","29,340.3",0,0
"월요일",01시~02시,"4,646",54,1.2,"1,190","64,260.35",0,0
"월요일",02시~03시,574,11,1.3,"1,289","14,178.45",0,0
"월요일",03시~04시,50,0,1.6,0,9.35,0,0
"월요일",04시~05시,48,0,2.2,0,7.7,0,0
"월요일",05시~06시,43,0,1.8,0,6.6,0,0
"월요일",06시~07시,106,1,1.6,446,445.5,0,0
"월요일",07시~08시,252,2,1.4,352,704.55,0,0
"월요일",08시~09시,521,2,1.7,275,549.45,0,0
"월요일",09시~10시,883,4,1.9,211,842.05,0,0
"월요일",10시~11시,"1,301",6,2.4,523,"3,139.95",0,0
"월요일",11시~12시,"1,249",7,2.3,351,"2,457.95",0,0
"월요일",12시~13시,814,5,2,842,"4,208.6",0,0
"월요일",13시~14시,"1,139",5,1.9,344,"1,718.75",0,0
"월요일",14시~15시,"1,146",8,2.2,434,"3,468.3",0,0
"월요일",15시~16시,"1,340",8,1.9,338,"2,706.55",0,0
"월요일",16시~17시,"1,290",4,1.9,609,"2,437.05",0,0
"월요일",17시~18시,"1,147",10,1.9,404,"4,036.45",0,0
"월요일",18시~19시,648,9,1.8,260,"2,338.6",0,0
"월요일",19시~20시,435,9,2.1,275,"2,474.45",0,0
"월요일",20시~21시,450,4,2.1,689,"2,754.95",0,0
"월요일",21시~22시,497,9,2.2,474,"4,268",0,0
"월요일",22시~23시,431,2,2.2,184,367.95,0,0
"월요일",23시~00시,421,4,2.5,369,"1,474",0,0
"화요일",00시~01시,"2,334",25,1.2,"1,038","25,955.6",0,0
"화요일",01시~02시,"4,415",53,1.1,"1,078","57,144.45",0,0
"화요일",02시~03시,913,7,1.2,"1,072","7,501.45",0,0
"화요일",03시~04시,48,0,2.2,0,11.55,0,0
"화요일",04시~05시,26,0,2.4,0,7.15,0,0
"화요일",05시~06시,48,2,1.7,703,"1,405.25",0,0
