"플레이스보고서(2025.06.01.~2025.06.30.),premier36:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,지역,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,서울특별시,425,42,315,"13,233",2.3
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,광주광역시,5,1,737,737,2.4
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,대구광역시,8,1,759,759,2.4
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,대전광역시,7,0,0,0,2.6
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,부산광역시,7,0,0,0,2.3
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,울산광역시,1,0,0,0,1
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,인천광역시,21,1,693,693,2.5
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,세종특별자치시,6,0,0,0,1.7
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,강원특별자치도,7,0,0,0,2.7
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,경기도,"3,224",200,405,"80,905",2.5
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,경상남도,4,0,0,0,3
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,경상북도,1,0,0,0,2
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,전라남도,25,1,737,737,2.7
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,전북특별자치도,3,1,726,726,2.3
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,충청남도,60,1,242,242,2.1
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,충청북도,67,2,495,990,1.9
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,제주특별자치도,6,1,616,616,2.5
"플레이스",[플레이스]프리미어피트니스,플레이스#1_광고그룹#1,모바일,국내 - 상세 위치 확인불가,356,22,474,"10,428",2.1
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,PC,서울특별시,37,2,836,"1,672",2.1
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,PC,인천광역시,1,0,0,0,2
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,PC,세종특별자치시,1,0,0,0,1
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,PC,경기도,301,2,875,"1,749",2.2
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,서울특별시,54,1,275,275,3.4
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,광주광역시,2,0,0,0,3.5
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,인천광역시,4,0,0,0,3.5
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,세종특별자치시,3,0,0,0,2
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,경기도,608,13,633,"8,228",3
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,경상남도,2,0,0,0,2
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,전라남도,2,0,0,0,3
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,충청남도,2,0,0,0,2
"플레이스",[플레이스]프리미어PT,플레이스#1_광고그룹#1,모바일,국내 - 상세 위치 확인불가,115,4,723,"2,893",2.6
