"쇼핑검색보고서(2024.12.01.~2024.12.31.),canofix-man:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수(네이버페이),전환매출액(네이버페이)
"파워링크",지붕캐노피,모바일,5,0,0,0,3,0,0,0,0
"파워링크",지붕폴리카보네이트,PC,1,0,0,0,4,0,0,0,0
"파워링크",지붕폴리카보네이트,모바일,1,0,0,0,5,0,0,0,0
"파워링크",지하주차장캐노피,PC,30,0,0,0,3.2,0,0,0,0
"파워링크",지하주차장캐노피,모바일,24,0,0,0,2.2,0,0,0,0
"파워링크",진천캐노피,모바일,1,0,0,0,4,0,0,0,0
"파워링크",진천폴리카보네이트,모바일,2,0,0,0,3,0,0,0,0
"파워링크",차양막,PC,72,1,"1,782","1,782",4.4,0,0,0,0
"파워링크",차양막,모바일,96,0,0,0,3.7,0,0,0,0
"파워링크",차양설치,PC,3,0,0,0,6,0,0,0,0
"파워링크",차양캐노피,PC,6,0,0,0,2.2,0,0,0,0
"파워링크",차양캐노피,모바일,6,0,0,0,1.3,0,0,0,0
"파워링크",창문렉산,PC,15,0,0,0,5.2,0,0,0,0
"파워링크",창문렉산,모바일,29,2,935,"1,870",2.9,0,0,0,0
"파워링크",창문비가림,PC,1,0,0,0,5,0,0,0,0
"파워링크",창문비막이,PC,8,0,0,0,4.3,0,0,0,0
"파워링크",창문비막이,모바일,12,0,0,0,3.8,0,0,0,0
"파워링크",창문차양,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",창문캐노피,PC,18,0,0,0,3.8,0,0,0,0
"파워링크",창문캐노피,모바일,46,1,517,517,3,0,0,0,0
"파워링크",처마차양,PC,10,0,0,0,3.5,0,0,0,0
"파워링크",처마차양,모바일,21,1,737,737,5.1,0,0,0,0
"파워링크",천안렉산,PC,4,0,0,0,4.3,0,0,0,0
"파워링크",천안렉산시공,모바일,1,0,0,0,2,0,0,0,0
"파워링크",천안렉산캐노피,모바일,2,0,0,0,1,0,0,0,0
"파워링크",천안캐노피,PC,5,0,0,0,1.4,0,0,0,0
"파워링크",천안캐노피,모바일,6,0,0,0,1.5,0,0,0,0
"파워링크",천안캐노픽스,PC,1,0,0,0,2,0,0,0,0
"파워링크",천안캐노픽스,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",천안폴리카보네이트,모바일,1,0,0,0,3,0,0,0,0
"파워링크",청주렉산,모바일,3,0,0,0,6,0,0,0,0
"파워링크",청주렉산캐노피,PC,1,0,0,0,3,0,0,0,0
"파워링크",청주렉산캐노피,모바일,1,0,0,0,2,0,0,0,0
"파워링크",청주복층렉산,모바일,1,0,0,0,3,0,0,0,0
"파워링크",청주비가림막,모바일,3,0,0,0,2.3,0,0,0,0
"파워링크",청주전원주택캐노피,PC,1,0,0,0,3,0,0,0,0
"파워링크",청주전원주택캐노피,모바일,1,0,0,0,2,0,0,0,0
"파워링크",청주캐노피,PC,5,0,0,0,1.4,0,0,0,0
"파워링크",청주캐노피,모바일,22,1,"2,706","2,706",2.3,0,0,0,0
"파워링크",청주캐노피공사,PC,1,0,0,0,1,0,0,0,0
"파워링크",청주캐노피공사,모바일,1,0,0,0,2,0,0,0,0
"파워링크",청주캐노픽스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",청주폴리카보네이트,PC,10,0,0,0,1.9,0,0,0,0
"파워링크",청주폴리카보네이트,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",충주지붕재,PC,1,0,0,0,3,0,0,0,0
"파워링크",충주캐노피,모바일,1,0,0,0,3,0,0,0,0
"파워링크",캐노피,PC,"3,519",21,"3,671","77,099",3.4,0,0,0,0
"파워링크",캐노피,모바일,"5,237",53,"3,255","172,524",2.2,0,0,0,0
"파워링크",캐노피가격,PC,4,0,0,0,3,0,0,0,0
"파워링크",캐노피가격,모바일,3,0,0,0,2.3,0,0,0,0
"파워링크",캐노피공사,PC,38,2,"2,404","4,807",7,0,0,0,0
"파워링크",캐노피공사,모바일,47,4,"2,398","9,592",2.9,0,0,0,0
"파워링크",캐노피설치,PC,45,1,"1,727","1,727",6.1,0,0,0,0
"파워링크",캐노피설치,모바일,41,2,"1,430","2,860",4.2,0,0,0,0
"파워링크",캐노피시공,PC,22,0,0,0,3.6,0,0,0,0
"파워링크",캐노피시공,모바일,18,0,0,0,1.8,0,0,0,0
"파워링크",캐노픽스,PC,262,5,"1,912","9,559",3.6,0,0,0,0
"파워링크",캐노픽스,모바일,671,10,"1,799","17,985",4.1,0,0,0,0
"파워링크",캐노픽스설치,PC,1,0,0,0,4,0,0,0,0
"파워링크",캐노픽스시공,PC,1,0,0,0,3,0,0,0,0
"파워링크",케노픽스,PC,23,1,"1,023","1,023",4.1,0,0,0,0
"파워링크",케노픽스,모바일,58,5,719,"3,597",3.1,0,0,0,0
"파워링크",테라스캐노피,PC,8,0,0,0,5.1,0,0,0,0
"파워링크",테라스캐노피,모바일,7,0,0,0,3.7,0,0,0,0
"파워링크",투명렉산,PC,42,0,0,0,3.5,0,0,0,0
"파워링크",투명렉산,모바일,70,3,796,"2,387",2.3,0,0,0,0
"파워링크",투명폴리카보네이트,PC,9,0,0,0,5.2,0,0,0,0
"파워링크",투명폴리카보네이트,모바일,35,0,0,0,2.4,0,0,0,0
"파워링크",폴리카보네이트,PC,"1,038",3,"4,444","13,332",7.1,0,0,0,0
"파워링크",폴리카보네이트,모바일,"2,826",34,"2,937","99,869",2.8,0,0,0,0
"파워링크",폴리카보네이트가격,PC,32,4,"1,447","5,786",5.7,0,0,0,0
"파워링크",폴리카보네이트가격,모바일,67,2,"1,436","2,871",2.3,0,0,0,0
"파워링크",폴리카보네이트가공,PC,17,0,0,0,5.9,0,0,0,0
"파워링크",폴리카보네이트가공,모바일,31,1,781,781,3.2,0,0,0,0
"파워링크",폴리카보네이트규격,PC,22,0,0,0,4.1,0,0,0,0
"파워링크",폴리카보네이트규격,모바일,18,0,0,0,2.4,0,0,0,0
"파워링크",폴리카보네이트설치,PC,3,0,0,0,6.3,0,0,0,0
"파워링크",폴리카보네이트설치,모바일,1,0,0,0,4,0,0,0,0
"파워링크",해남캐노피,PC,1,0,0,0,1,0,0,0,0
"파워링크",햇빛가림막,PC,5,0,0,0,7,0,0,0,0
"파워링크",햇빛가림막,모바일,6,0,0,0,3.7,0,0,0,0
"파워링크",현관비가림,PC,1,0,0,0,7,0,0,0,0
"파워링크",현관비가림,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",현관캐노피,PC,32,0,0,0,3.2,0,0,0,0
"파워링크",현관캐노피,모바일,8,1,517,517,3.8,0,0,0,0
"파워링크",홍성캐노피공사,모바일,1,0,0,0,3,0,0,0,0
"쇼핑검색",-,PC,766,4,"1,920","7,678",4.2,1,0,0,0
"쇼핑검색",-,모바일,"1,922",14,"1,920","26,873",4,1,0,0,0
"쇼핑검색",1100*800창문,모바일,3,0,0,0,2,0,0,0,0
"쇼핑검색",20003000어닝,모바일,2,0,0,0,1.5,0,0,0,0
"쇼핑검색",2000×1000×4.5,모바일,1,0,0,0,7,0,0,0,0
"쇼핑검색",9000×3000고정어닝,모바일,3,0,0,0,3,0,0,0,0
"쇼핑검색",9평국수집가림막,모바일,12,0,0,0,7.5,0,0,0,0
"쇼핑검색",가림막800,모바일,3,0,0,0,3,0,0,0,0
"쇼핑검색",경기캐노픽스비가림비가림막,모바일,20,0,0,0,5.5,0,0,0,0
"쇼핑검색",계단비가림막,PC,12,0,0,0,3.7,0,0,0,0
"쇼핑검색",계단비가림막,모바일,1,0,0,0,2,0,0,0,0
"쇼핑검색",고정어닝,PC,836,9,"1,863","16,764",1.8,1.31,21,0,0
"쇼핑검색",고정어닝,모바일,"2,587",46,"1,539","70,774",1.8,1,0,0,0
"쇼핑검색",고정어닝가격,PC,10,0,0,0,1.5,0,0,0,0
"쇼핑검색",고정어닝가격,모바일,175,6,"1,469","8,811",1.6,1,0,0,0
"쇼핑검색",고정어닝어닝,PC,30,0,0,0,2.2,0,0,0,0
"쇼핑검색",기둥식어닝가림막,PC,12,0,0,0,3.5,0,0,0,0
"쇼핑검색",난간비가림막,모바일,9,0,0,0,6,0,0,0,0
"쇼핑검색",농막비가림막,모바일,1,1,"1,925","1,925",2,1,0,0,0
"쇼핑검색",대문비가림막,PC,4,0,0,0,10.5,0,0,0,0
"쇼핑검색",대형비가림막,PC,5,0,0,0,4,0,0,0,0
"쇼핑검색",라운드고정어닝,모바일,3,0,0,0,2,0,0,0,0
"쇼핑검색",라운드어닝차양,모바일,18,1,"1,639","1,639",6,1,0,0,0
"쇼핑검색",레트로고정어닝,모바일,12,0,0,0,2,0,0,0,0
"쇼핑검색",렉산비가림막,PC,4,0,0,0,4.5,0,0,0,0
"쇼핑검색",무타공어닝,PC,108,0,0,0,3.2,0,0,0,0
"쇼핑검색",무타공어닝,모바일,200,2,"1,650","3,300",4.5,1,0,0,0
"쇼핑검색",문비가림막,PC,5,0,0,0,4,0,0,0,0
"쇼핑검색",미가유통가림막,모바일,5,0,0,0,8,0,0,0,0
"쇼핑검색",부착용비가림막,모바일,2,0,0,0,9.5,0,0,0,0
"쇼핑검색",비800,모바일,3,0,0,0,3,0,0,0,0
"쇼핑검색",비가림,PC,42,0,0,0,9.5,0,0,0,0
"쇼핑검색",비가림,모바일,177,1,"1,650","1,650",7,1,0,0,0
"쇼핑검색",비가림막,PC,366,1,"1,650","1,650",4.2,1,0,0,0
"쇼핑검색",비가림막,모바일,820,9,"1,920","17,281",3.9,1.5,26.64,0,0
"쇼핑검색",비가림막1.2M,모바일,2,0,0,0,9.5,0,0,0,0
"쇼핑검색",비가림막1M,모바일,3,0,0,0,9,0,0,0,0
"쇼핑검색",비가림막설치,PC,3,0,0,0,2,0,0,0,0
"쇼핑검색",비가림막설치,모바일,8,0,0,0,3.3,0,0,0,0
"쇼핑검색",비가림막어닝,모바일,38,1,"1,925","1,925",4.9,1,0,0,0
"쇼핑검색",비가림막재질,PC,5,0,0,0,4,0,0,0,0
"쇼핑검색",비가림막차양,모바일,20,0,0,0,5.5,0,0,0,0
"쇼핑검색",비가림막플라스틱,모바일,9,0,0,0,6,0,0,0,0
"쇼핑검색",비가림어닝,PC,12,0,0,0,2.5,0,0,0,0
"쇼핑검색",비가림어닝,모바일,40,1,"1,650","1,650",1.8,1,0,0,0
"쇼핑검색",비가림캐노픽스,모바일,44,0,0,0,7.2,0,0,0,0
"쇼핑검색",비막이가림막,PC,1,0,0,0,2,0,0,0,0
"쇼핑검색",비막이가림막,모바일,11,0,0,0,5.3,0,0,0,0
"쇼핑검색",비캐노피,PC,10,0,0,0,7.5,0,0,0,0
"쇼핑검색",상가고정어닝,모바일,12,0,0,0,2,0,0,0,0
"쇼핑검색",상가비가림막,모바일,11,0,0,0,5.3,0,0,0,0
"쇼핑검색",색상골판가림막,모바일,18,0,0,0,13.9,0,0,0,0
"쇼핑검색",소형비가림막,모바일,28,0,0,0,6.2,0,0,0,0
"쇼핑검색",수동접이식비가림막어닝,PC,12,0,0,0,3.5,0,0,0,0
"쇼핑검색",아닝,모바일,18,0,0,0,6,0,0,0,0
"쇼핑검색",아크릴비가림막,PC,1,0,0,0,2,0,0,0,0
"쇼핑검색",아크릴비가림막,모바일,20,0,0,0,4.7,0,0,0,0
"쇼핑검색",야외비가림막,PC,11,0,0,0,3.8,0,0,0,0
"쇼핑검색",야외비가림막,모바일,20,0,0,0,6.1,0,0,0,0
"쇼핑검색",어닝,PC,"3,539",17,"1,909","32,461",3.9,1.17,21.08,0,0
"쇼핑검색",어닝,모바일,"13,851",84,"1,900","159,588",3.5,1,0,0,0
"쇼핑검색",어닝4000*1500가격,PC,3,0,0,0,2,0,0,0,0
"쇼핑검색",어닝가격,PC,70,0,0,0,3.2,0,0,0,0
"쇼핑검색",어닝가격,모바일,623,8,"1,885","15,081",3.2,1,0,0,0
"쇼핑검색",어닝고정시공,모바일,15,0,0,0,2,0,0,0,0
"쇼핑검색",어닝공장어닝고정시공,모바일,6,0,0,0,2,0,0,0,0
"쇼핑검색",어닝차양,PC,10,0,0,0,2.9,0,0,0,0
"쇼핑검색",어닝차양,모바일,21,0,0,0,5.3,0,0,0,0
"쇼핑검색",어닝창문,PC,22,0,0,0,2.6,0,0,0,0
"쇼핑검색",어닝창문,모바일,15,0,0,0,1.5,0,0,0,0
"쇼핑검색",어닝천갈이교채용,모바일,10,0,0,0,5.5,0,0,0,0
"쇼핑검색",어닝추천,모바일,7,0,0,0,1.6,0,0,0,0
"쇼핑검색",어닝측면가림막,PC,3,0,0,0,1.7,0,0,0,0
"쇼핑검색",어닝측면가림막,모바일,2,0,0,0,1.5,0,0,0,0
"쇼핑검색",어닝판매,모바일,8,0,0,0,3.3,0,0,0,0
"쇼핑검색",연유리1200×800,모바일,2,0,0,0,7,0,0,0,0
"쇼핑검색",예쁜어닝,PC,5,0,0,0,1.8,0,0,0,0
"쇼핑검색",예쁜어닝,모바일,26,0,0,0,2,0,0,0,0
"쇼핑검색",옥상비가림막,모바일,1,0,0,0,2,0,0,0,0
"쇼핑검색",원두막가림막,모바일,10,0,0,0,8,0,0,0,0
"쇼핑검색",윈드스크린비가림막,PC,10,0,0,0,4,0,0,0,0
"쇼핑검색",이쁜어닝,PC,3,0,0,0,5,0,0,0,0
"쇼핑검색",이쁜어닝,모바일,2,0,0,0,1.5,0,0,0,0
"쇼핑검색",저렴한어닝,PC,1,0,0,0,2,0,0,0,0
"쇼핑검색",접이식수동어닝비가림창문,PC,6,0,0,0,3.5,0,0,0,0
"쇼핑검색",정품취급비가림캐노픽스,PC,7,0,0,0,4.4,0,0,0,0
"쇼핑검색",조립식비가림막,모바일,10,0,0,0,6.7,0,0,0,0
"쇼핑검색",주택비가림막,모바일,7,0,0,0,2,0,0,0,0
"쇼핑검색",지붕비가림막,PC,1,0,0,0,2,0,0,0,0
"쇼핑검색",지붕비가림막,모바일,5,0,0,0,4,0,0,0,0
"쇼핑검색",차양,PC,99,0,0,0,10.2,0,0,0,0
"쇼핑검색",차양,모바일,244,0,0,0,6,0,0,0,0
"쇼핑검색",차양1200,모바일,2,0,0,0,1.5,0,0,0,0
"쇼핑검색",차양어닝,PC,3,0,0,0,2,0,0,0,0
"쇼핑검색",차양어닝,모바일,1,0,0,0,2,0,0,0,0
"쇼핑검색",차양이,모바일,1,0,0,0,10,0,0,0,0
"쇼핑검색",차양캐노픽스,모바일,114,0,0,0,7.3,0,0,0,0
"쇼핑검색",차양캐노픽스달인,모바일,6,0,0,0,7.5,0,0,0,0
"쇼핑검색",찬문,모바일,1,0,0,0,9,0,0,0,0
"쇼핑검색",창문간이어닝,PC,12,0,0,0,3.5,0,0,0,0
"쇼핑검색",창문고정어닝,모바일,10,0,0,0,9.9,0,0,0,0
"쇼핑검색",창문비가림,PC,23,0,0,0,5,0,0,0,0
"쇼핑검색",창문비가림,모바일,9,0,0,0,7.7,0,0,0,0
"쇼핑검색",창문어닝,PC,81,0,0,0,3.2,0,0,0,0
"쇼핑검색",창문어닝,모바일,476,0,0,0,3.8,0,0,0,0
"쇼핑검색",창틀비가림막,모바일,11,1,"1,925","1,925",6.1,1,0,0,0
"쇼핑검색",창틀어닝,모바일,2,0,0,0,1.5,0,0,0,0
"쇼핑검색",처마비가림막,모바일,9,0,0,0,6,0,0,0,0
"쇼핑검색",천환경판어닝,모바일,6,0,0,0,7.5,0,0,0,0
"쇼핑검색",캐노픽스,PC,53,0,0,0,4.6,0,0,0,0
"쇼핑검색",캐노픽스,모바일,477,6,"1,258","7,546",6.5,1,0,0,0
"쇼핑검색",캐노픽스1500,모바일,6,0,0,0,4.5,0,0,0,0
"쇼핑검색",캐노픽스800,모바일,6,2,"1,920","3,839",3,2,6.33,0,0
"쇼핑검색",캐노픽스어닝,모바일,190,0,0,0,4.4,0,0,0,0
"쇼핑검색",캐노픽스차양렉산현관비가림막,PC,6,0,0,0,3.5,0,0,0,0
"쇼핑검색",캐노픽스코리아800X1500,모바일,1,0,0,0,1,0,0,0,0
"쇼핑검색",컨테이너비가림막,모바일,13,0,0,0,3.5,0,0,0,0
"쇼핑검색",케노픽스,PC,4,0,0,0,3.5,0,0,0,0
"쇼핑검색",케노픽스,모바일,56,0,0,0,7.7,0,0,0,0
"쇼핑검색",투명비가림막,모바일,2,0,0,0,1.5,0,0,0,0
"쇼핑검색",트랙터비가림막,PC,4,0,0,0,4.5,0,0,0,0
