"쇼핑검색보고서(2024.12.01.~2024.12.31.),canofix-man:naver"
"캠페인유형",검색어,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수(네이버페이),전환매출액(네이버페이)
"파워링크",CANOFIX,PC,2,0,0,0,3.5,0,0,0,0
"파워링크",CANOFIX,모바일,4,0,0,0,2.8,0,0,0,0
"파워링크",계단캐노피,PC,11,0,0,0,5.3,0,0,0,0
"파워링크",계단캐노피,모바일,9,0,0,0,3.4,0,0,0,0
"파워링크",공주렉산,모바일,1,0,0,0,4,0,0,0,0
"파워링크",공주캐노피,PC,10,0,0,0,1.1,0,0,0,0
"파워링크",공주캐노피,모바일,56,0,0,0,1.1,0,0,0,0
"파워링크",광양지붕재,모바일,1,1,77,77,3,0,0,0,0
"파워링크",군산캐노피,PC,1,0,0,0,1,0,0,0,0
"파워링크",군산폴리카보네이트,PC,1,0,0,0,2,0,0,0,0
"파워링크",그늘막,PC,161,1,"2,123","2,123",4.7,0,0,0,0
"파워링크",그늘막,모바일,259,3,"2,116","6,347",2.1,0,0,0,0
"파워링크",그늘막설치,PC,9,0,0,0,4.3,0,0,0,0
"파워링크",그늘막설치,모바일,6,0,0,0,2,0,0,0,0
"파워링크",남원캐노피,PC,1,0,0,0,1,0,0,0,0
"파워링크",넥산,PC,244,3,"2,706","8,118",4.1,0,0,0,0
"파워링크",넥산,모바일,466,13,"1,950","25,344",2.6,0,0,0,0
"파워링크",넥산공사,PC,2,0,0,0,5,0,0,0,0
"파워링크",넥산설치,모바일,1,0,0,0,1,0,0,0,0
"파워링크",넥산시공,PC,22,1,902,902,9.2,0,0,0,0
"파워링크",넥산시공,모바일,44,2,"1,034","2,068",3.9,0,0,0,0
"파워링크",논산캐노피,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",당진렉산,PC,1,0,0,0,9,0,0,0,0
"파워링크",당진렉산,모바일,1,0,0,0,9,0,0,0,0
"파워링크",당진렉산시공,모바일,1,0,0,0,3,0,0,0,0
"파워링크",당진폴리카보네이트,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",대전렉산,PC,18,0,0,0,4.6,0,0,0,0
"파워링크",대전렉산,모바일,9,0,0,0,3.1,0,0,0,0
"파워링크",대전렉산공사,PC,1,0,0,0,3,0,0,0,0
"파워링크",대전렉산시공,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",대전복층렉산,모바일,1,0,0,0,1,0,0,0,0
"파워링크",대전지붕재,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",대전캐노피,PC,9,0,0,0,2.7,0,0,0,0
"파워링크",대전캐노피,모바일,5,1,"3,421","3,421",1.4,0,0,0,0
"파워링크",대전캐노피공사,PC,1,1,77,77,5,0,0,0,0
"파워링크",대전캐노픽스,PC,5,1,110,110,3,0,0,0,0
"파워링크",대전캐노픽스,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",대전캐노픽스설치,모바일,2,1,77,77,1,0,0,0,0
"파워링크",대전폴리카보네이트,PC,2,1,253,253,2.5,0,0,0,0
"파워링크",대전폴리카보네이트,모바일,5,0,0,0,2.4,0,0,0,0
"파워링크",데크지붕,PC,66,0,0,0,1.7,0,0,0,0
"파워링크",데크지붕,모바일,24,1,748,748,1.8,0,0,0,0
"파워링크",데크캐노피,모바일,2,0,0,0,3,0,0,0,0
"파워링크",렉산,PC,"5,245",8,"4,334","34,672",2.5,0,0,0,0
"파워링크",렉산,모바일,"2,947",29,"2,525","73,238",2.3,0,0,0,0
"파워링크",렉산공사,PC,19,1,"2,970","2,970",4.1,0,0,0,0
"파워링크",렉산공사,모바일,9,0,0,0,1.8,0,0,0,0
"파워링크",렉산설치,PC,11,0,0,0,3.8,0,0,0,0
"파워링크",렉산설치,모바일,4,0,0,0,6,0,0,0,0
"파워링크",렉산시공,PC,61,1,"2,673","2,673",6.2,0,0,0,0
"파워링크",렉산시공,모바일,50,4,"2,772","11,088",3.5,0,0,0,0
"파워링크",렉산주차장,PC,2,0,0,0,5.5,0,0,0,0
"파워링크",렉산주차장,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",렉산지붕,PC,109,2,"1,628","3,256",7.9,0,0,0,0
"파워링크",렉산지붕,모바일,110,6,"1,360","8,162",3.4,0,0,0,0
"파워링크",렉산차양,PC,13,0,0,0,4.8,0,0,0,0
"파워링크",렉산차양,모바일,3,0,0,0,3.7,0,0,0,0
"파워링크",렉산캐노피,PC,133,0,0,0,7.5,0,0,0,0
"파워링크",렉산캐노피,모바일,128,2,"2,294","4,587",3.2,0,0,0,0
"파워링크",렉산폴리카보네이트,PC,114,1,"1,067","1,067",3.9,0,0,0,0
"파워링크",렉산폴리카보네이트,모바일,212,7,"1,179","8,250",2.1,0,0,0,0
"파워링크",목포넥산,모바일,1,0,0,0,1,0,0,0,0
"파워링크",목포렉산,모바일,1,0,0,0,4,0,0,0,0
"파워링크",목포캐노피,PC,1,0,0,0,1,0,0,0,0
"파워링크",목포캐노피,모바일,1,0,0,0,4,0,0,0,0
"파워링크",무주캐노피,모바일,5,0,0,0,1,0,0,0,0
"파워링크",보령폴리카보네이트,PC,1,0,0,0,4,0,0,0,0
"파워링크",복층렉산,PC,281,2,"8,349","16,698",4.1,0,0,0,0
"파워링크",복층렉산,모바일,231,11,"6,413","70,543",2.7,0,0,0,0
"파워링크",부안캐노피,모바일,4,0,0,0,1,0,0,0,0
"파워링크",부여렉산,모바일,1,0,0,0,3,0,0,0,0
"파워링크",비가리개,PC,3,0,0,0,5.3,0,0,0,0
"파워링크",비가리개,모바일,11,0,0,0,3.4,0,0,0,0
"파워링크",비가림,PC,6,0,0,0,5,0,0,0,0
"파워링크",비가림,모바일,17,0,0,0,4.8,0,0,0,0
"파워링크",비가림막,PC,44,0,0,0,8.8,0,0,0,0
"파워링크",비가림막,모바일,60,0,0,0,3.4,0,0,0,0
"파워링크",비가림막설치,PC,8,0,0,0,3.6,0,0,0,0
"파워링크",비가림막설치,모바일,4,0,0,0,2.3,0,0,0,0
"파워링크",비가림시설,PC,18,0,0,0,4.7,0,0,0,0
"파워링크",비가림시설,모바일,18,0,0,0,3.9,0,0,0,0
"파워링크",비가림어닝,모바일,8,1,110,110,2.1,0,0,0,0
"파워링크",비가림지붕,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",비가림지붕,모바일,8,0,0,0,2.6,0,0,0,0
"파워링크",비가림차양,PC,3,0,0,0,7,0,0,0,0
"파워링크",비가림차양,모바일,33,0,0,0,3.6,0,0,0,0
"파워링크",비가림캐노피,PC,7,0,0,0,5.6,0,0,0,0
"파워링크",비가림캐노피,모바일,9,0,0,0,2.8,0,0,0,0
"파워링크",비막이,모바일,2,0,0,0,12,0,0,0,0
"파워링크",비받이,PC,8,0,0,0,4.9,0,0,0,0
"파워링크",비받이,모바일,14,1,275,275,4.5,0,0,0,0
"파워링크",서산렉산,PC,2,0,0,0,7,0,0,0,0
"파워링크",서산렉산공사,모바일,1,0,0,0,2,0,0,0,0
"파워링크",서산렉산시공,모바일,2,0,0,0,3,0,0,0,0
"파워링크",세종렉산,모바일,1,0,0,0,3,0,0,0,0
"파워링크",세종캐노피,모바일,1,0,0,0,4,0,0,0,0
"파워링크",순천렉산,PC,2,0,0,0,3,0,0,0,0
"파워링크",순천렉산,모바일,1,0,0,0,3,0,0,0,0
"파워링크",순천렉산폴리카보네이트,모바일,1,1,77,77,1,0,0,0,0
"파워링크",순천캐노피,모바일,1,0,0,0,1,0,0,0,0
"파워링크",순천폴리카보네이트,모바일,2,0,0,0,1,0,0,0,0
"파워링크",아산캐노피,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",아산캐노픽스,모바일,1,0,0,0,2,0,0,0,0
"파워링크",여수렉산,모바일,1,0,0,0,6,0,0,0,0
"파워링크",옥상비가림,PC,6,0,0,0,3,0,0,0,0
"파워링크",옥상비가림,모바일,8,0,0,0,2.6,0,0,0,0
"파워링크",음성캐노피,모바일,2,0,0,0,3,0,0,0,0
"파워링크",이중렉산,PC,24,0,0,0,4,0,0,0,0
"파워링크",이중렉산,모바일,32,3,367,"1,100",2.1,0,0,0,0
"파워링크",익산렉산,PC,1,0,0,0,5,0,0,0,0
"파워링크",익산렉산,모바일,1,0,0,0,4,0,0,0,0
"파워링크",익산렉산지붕,모바일,1,0,0,0,2,0,0,0,0
"파워링크",익산캐노피,모바일,3,0,0,0,4,0,0,0,0
"파워링크",익산캐노픽스,모바일,2,0,0,0,2,0,0,0,0
"파워링크",익산폴리카보네이트,모바일,2,0,0,0,2,0,0,0,0
"파워링크",전원주택캐노피,PC,5,1,638,638,2.4,0,0,0,0
"파워링크",전원주택캐노피,모바일,28,0,0,0,2.4,0,0,0,0
"파워링크",전주렉산시공,PC,1,0,0,0,3,0,0,0,0
"파워링크",전주렉산캐노피,PC,1,0,0,0,1,0,0,0,0
"파워링크",전주캐노피,PC,2,0,0,0,2.5,0,0,0,0
"파워링크",전주캐노피,모바일,1,0,0,0,2,0,0,0,0
"파워링크",전주캐노픽스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",전주폴리카보네이트,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",전주폴리카보네이트,모바일,2,0,0,0,1,0,0,0,0
"파워링크",제천캐노피,PC,1,1,"2,970","2,970",1,0,0,0,0
"파워링크",제천캐노피,모바일,3,0,0,0,1,0,0,0,0
"파워링크",제천캐노피공사,모바일,2,0,0,0,3,0,0,0,0
"파워링크",제천캐노피시공,모바일,1,0,0,0,3,0,0,0,0
"파워링크",주차장렉산,PC,4,0,0,0,2,0,0,0,0
"파워링크",주차장비가림막,모바일,2,0,0,0,6,0,0,0,0
"파워링크",주차장지붕,PC,51,1,"1,045","1,045",3.5,0,0,0,0
"파워링크",주차장지붕,모바일,45,1,"1,155","1,155",2.6,0,0,0,0
"파워링크",주차장차양,PC,3,0,0,0,4.3,0,0,0,0
"파워링크",주차장차양막,PC,1,0,0,0,4,0,0,0,0
"파워링크",주차장차양막,모바일,2,0,0,0,4,0,0,0,0
"파워링크",주차장캐노피,PC,78,1,"3,289","3,289",7.5,0,0,0,0
"파워링크",주차장캐노피,모바일,52,0,0,0,3,0,0,0,0
"파워링크",주차장캐노피공사,PC,6,0,0,0,2.5,0,0,0,0
"파워링크",주차장캐노피공사,모바일,7,1,77,77,3.3,0,0,0,0
"파워링크",주차캐노피,PC,25,2,688,"1,375",3.2,0,0,0,0
"파워링크",주차캐노피,모바일,22,0,0,0,2.5,0,0,0,0
"파워링크",주택캐노피,PC,5,1,506,506,3.4,0,0,0,0
"파워링크",주택캐노피,모바일,8,0,0,0,2.9,0,0,0,0
"파워링크",지붕렉산,PC,11,0,0,0,5.6,0,0,0,0
"파워링크",지붕렉산,모바일,8,0,0,0,3.8,0,0,0,0
"파워링크",지붕설치,PC,6,0,0,0,3.3,0,0,0,0
"파워링크",지붕설치,모바일,6,0,0,0,2.5,0,0,0,0
"파워링크",지붕재,PC,56,1,638,638,4.4,0,0,0,0
"파워링크",지붕재,모바일,43,0,0,0,2.2,0,0,0,0
"파워링크",지붕캐노피,PC,14,0,0,0,3.7,0,0,0,0
