"파워링크보고서(2024.12.01.~2024.12.31.),canofix-man:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수(네이버페이),전환매출액(네이버페이)
"파워링크",djcanofix.kr,1 전국,렉산시공,PC,61,1,"2,673","2,673",6.2,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산시공,모바일,51,4,"2,772","11,088",3.5,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산주차장,PC,2,0,0,0,5.5,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산주차장,모바일,3,0,0,0,3.3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산지붕,PC,109,2,"1,628","3,256",7.9,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산지붕,모바일,110,6,"1,360","8,162",3.4,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산차양,PC,13,0,0,0,4.8,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산차양,모바일,3,0,0,0,3.7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산캐노피,PC,133,0,0,0,7.5,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산캐노피,모바일,"1,204",2,"2,294","4,587",3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산폴리카보네이트,PC,114,1,"1,067","1,067",3.9,0,0,0,0
"파워링크",djcanofix.kr,1 전국,렉산폴리카보네이트,모바일,"1,046",7,"1,179","8,250",3.7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,복층렉산,PC,281,2,"8,349","16,698",4.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,복층렉산,모바일,"1,291",13,"6,044","78,573",2.9,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가리개,PC,3,0,0,0,5.3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가리개,모바일,11,0,0,0,3.4,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림막,PC,44,0,0,0,8.8,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림막,모바일,60,0,0,0,3.4,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림막설치,PC,8,0,0,0,3.6,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림막설치,모바일,4,0,0,0,2.3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림시설,PC,24,0,0,0,4.8,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림시설,모바일,35,0,0,0,4.3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림어닝,모바일,8,1,110,110,2.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림지붕,PC,3,0,0,0,2.3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,비가림지붕,모바일,8,0,0,0,2.6,0,0,0,0
