"일별보고서(2024.10.28.~2024.12.31.),ss_1112:naver"
"일별",PC/모바일 매체,노출수,클릭수,클릭률(%),평균노출순위,"총비용(VAT포함,원)",전환수,전환매출액(원)
2024.12.06.,모바일,"22,506",43,0.2,15.7,"14,795",6,"133,704"
2024.12.07.,PC,242,9,3.72,9,"3,498",0,0
2024.12.07.,모바일,"28,920",46,0.16,16.3,"16,852",11,11
2024.12.08.,PC,252,8,3.18,9.1,"3,938",0,0
2024.12.08.,모바일,"23,177",67,0.29,13.1,"25,784",13,"112,011"
2024.12.09.,PC,468,18,3.85,17.8,"8,503",1,"56,000"
2024.12.09.,모바일,"28,893",63,0.22,15.3,"24,783",8,8
2024.12.10.,PC,464,17,3.67,8.4,"7,304",1,1
2024.12.10.,모바일,"16,334",52,0.32,19.9,"18,579",8,8
2024.12.11.,PC,410,13,3.18,8.4,"5,027",1,1
2024.12.11.,모바일,"16,217",46,0.29,15.5,"17,655",1,"46,520"
2024.12.12.,PC,353,18,5.1,12.3,"6,512",0,0
2024.12.12.,모바일,"19,730",40,0.21,16.2,"16,401",1,1
2024.12.13.,PC,436,14,3.22,10.1,"4,609",3,3
2024.12.13.,모바일,"12,516",31,0.25,18.6,"11,847",9,9
2024.12.14.,PC,283,9,3.19,10.1,"3,916",0,0
2024.12.14.,모바일,"6,896",64,0.93,10.1,"24,717",9,"112,008"
2024.12.15.,PC,383,10,2.62,11.8,"3,784",0,0
2024.12.15.,모바일,"7,977",70,0.88,9.1,"28,248",9,"220,108"
2024.12.16.,PC,734,15,2.05,11.4,"5,896",1,1
2024.12.16.,모바일,"13,153",67,0.51,10.7,"27,555",7,7
2024.12.17.,PC,592,18,3.05,10.3,"8,085",0,0
2024.12.17.,모바일,"16,402",64,0.4,9.9,"24,057",11,"112,009"
2024.12.18.,PC,485,14,2.89,9.6,"7,502",2,2
2024.12.18.,모바일,"17,626",68,0.39,9,"24,211",4,4
2024.12.19.,PC,522,12,2.3,15.7,"6,160",1,1
2024.12.19.,모바일,"14,230",42,0.3,9,"14,278",6,6
2024.12.20.,PC,355,9,2.54,10.8,"3,520",4,4
2024.12.20.,모바일,"15,591",40,0.26,10.1,"13,673",1,"23,700"
2024.12.21.,PC,282,5,1.78,8.8,"1,584",1,1
2024.12.21.,모바일,"18,409",58,0.32,10.1,"20,757",15,"56,014"
2024.12.22.,PC,287,8,2.79,8.6,"4,213",0,0
2024.12.22.,모바일,"21,065",92,0.44,9.3,"32,956",14,"208,412"
2024.12.23.,PC,446,18,4.04,8.5,"5,951",6,"94,704"
2024.12.23.,모바일,"15,263",57,0.38,8.3,"21,615",14,"274,711"
2024.12.24.,PC,418,11,2.64,8.9,"4,081",2,2
2024.12.24.,모바일,"4,551",51,1.13,5.8,"18,106",5,"56,004"
2024.12.25.,PC,219,10,4.57,9.1,"5,115",0,0
2024.12.25.,모바일,"6,654",54,0.82,6.3,"18,018",15,"112,014"
2024.12.26.,PC,557,13,2.34,10.6,"6,435",0,0
2024.12.26.,모바일,"5,331",57,1.07,6.5,"21,637",12,"134,010"
2024.12.27.,PC,489,9,1.85,10.7,"3,773",0,0
2024.12.27.,모바일,"7,053",37,0.53,6.2,"13,530",2,2
2024.12.28.,PC,253,5,1.98,9.1,"2,805",0,0
2024.12.28.,모바일,"6,802",50,0.74,7,"21,340",17,"69,016"
2024.12.29.,PC,210,3,1.43,9.2,"1,243",0,0
2024.12.29.,모바일,"7,042",60,0.86,7.3,"20,669",5,5
2024.12.30.,PC,526,16,3.05,11.7,"8,272",7,"150,705"
2024.12.30.,모바일,"5,690",55,0.97,6.7,"19,591",3,"23,702"
2024.12.31.,PC,382,6,1.58,9.8,"1,507",0,0
2024.12.31.,모바일,"5,847",29,0.5,7.2,"10,230",5,"56,004"
